Country,Population,Onemeter,Twometer,3 meter-Pop,4 meter-Pop,5 meter-Pop,1 meter-Pop%,2 meter-Pop%,3 meter-Pop%,4 meter-Pop%,5 meter-Pop%
762,0,33923,6804596,,,,,,,,
0,144,4,98340,,,,,,,,
72,1725,503,7976985,,,,,,,,
27,57698,141,5850343,,,,,,,,
61,5553,13183,5459643,,,,,,,,
167,5024,3061,2078932,,,,,,,,
99,3079,669,15893219,,,,,,,,
17673,622153,51070,59308690,,,,,,,,
54,1290,1417,11193729,,,,,,,,
32929,150376,677807,46754783,,,,,,,,
13,3306,1309,21413250,,,,,,,,
836,6764,6070,43849269,,,,,,,,
107,4830,98,586634,,,,,,,,
5894,0,92557,10099270,,,,,,,,
2088,48400,9880,8654618,,,,,,,,
221,1271,3181,17500657,,,,,,,,
7,488,32,23816775,,,,,,,,
79,9006,1095,9537642,,,,,,,,
21,183,305,56320000,,,,,,,,
59,3451,126,69799978,,,,,,,,
0,28,0,1268000,,,,,,,,
49,1444,442,8278737,,,,,,,,
90,3221,1732,1399491,,,,,,,,
456,5032,25771,11818618,,,,,,,,
8778,293145,32108,84339067,,,,,,,,
93,6022,3586,45741000,,,,,,,,
5010,116861,141234,43733759,,,,,,,,
443,95973,8717,9890400,,,,,,,,
42850,2495,548220,67886004,,,,,,,,
50,1930,288,3473727,,,,,,,,
214370,3062983,4440581,331002647,,,,,,,,
502,57704,2570,33469199,,,,,,,,
691,73919,7843,28435943,,,,,,,,
35,1024,48,97338583,,,,,,,,
378,37240,6327,4430000,,,,,,,,
1,8,1,597330,,,,,,,,
595,1329,127,29825968,,,,,,,,
337,14541,537,18383956,,,,,,,,
230,6492,1288,14862927,,,,,,,,
